d de
q que
x por
xq porque
k que
ke que
bn bien
sr senor
sra senora
m me
t te
dr doctor
dra doctora
aki aqui
n en
ke que
porq porque
pork porque
vd verdad
ved verdad
ns nose
esk es_que
esq es_que
cnd cuando
cndo cuando
dnd donde
dsd desde
desd desde
dsde desde
qn quien
kien quien
mnn manana
pa para
asik asi_que
asiq asi_que
bno bueno
fto foto
toy estoy
iwa igual
ta esta
cn con
kn quien
kiere quieres
weno bueno
xa para
bss besos
xo pero
tq te_quiero
tb tambien
pte presidente
kiero quiero
qiero quiero
dl del
qe que
omg contento
lol contento
tc tribunal
zp zapatero
art articulo
